date,AIR
2018/8/16,44.26542282
2018/8/17,44.65476608
2018/8/20,45.0241394
2018/8/21,45.91264725
2018/8/22,46.02246094
2018/8/23,45.69301605
2018/8/24,45.91264725
2018/8/27,46.55157089
2018/8/28,46.75123596
2018/8/29,46.52161789
2018/8/30,45.90266037
2018/8/31,46.59149933
2018/9/4,46.12229156
2018/9/5,45.92263031
2018/9/6,46.20215607
2018/9/7,46.01247787
2018/9/10,45.92263031
2018/9/11,42.79789352
2018/9/12,42.98757553
2018/9/13,42.67809677
2018/9/14,42.68807602
2018/9/17,43.02750397
2018/9/18,44.66474915
2018/9/19,43.70635986
2018/9/20,44.42515182
2018/9/21,44.83446121
2018/9/24,44.91432953
2018/9/25,45.95257568
2018/9/26,48.53821945
2018/9/27,46.1123085
2018/9/28,47.80944824
2018/10/1,46.14226151
2018/10/2,45.26374054
2018/10/3,46.98084641
2018/10/4,46.59149933
2018/10/5,46.18218994
2018/10/8,45.84276199
